review_text,noun_phrases,reconstructed_sentence
"We heard so many good things about this place and was excited to try it. We made reservations on our first day in Rome (12/1/2021). We ordered the carbonara, cacio e pepe, roman-artichoke and fresh mozzarella. Both pasta dishes were EXTREMELY salty. I love salt just as much as the next guy, but these were next level salty!! 🤢Needless to say I wouldn't recommend this place, so many other good place to eat and you don't need to make reservations!","{'food': ['extremely salty'], 'service': [], 'ambiance': []}",food is extremely salty.
"Amazing location, incredible food, great staff, legendary place. Get a reservation, or come for lunch if you can’t, because you’re very unlikely to get in otherwise. All of the food was delicious and the wine as well. Very friendly and knowledgeable staff too!","{'food': ['incredible', 'amazing', 'as delicious'], 'service': ['great', 'amazing', 'friendly too'], 'ambiance': []}","food is incredible, amazing, as delicious. service is great, amazing, friendly too."
Long time run family restaurant with great flavors and portioned servings. If you're near the Pantheon this is the place to stop and enjoy the Italian taste of Rome. Make reservations! It's small and fills up quick.,"{'food': ['the italian'], 'service': [], 'ambiance': []}",food is the italian.
A must for the Roman classics and experience. There’s a reason everyone wants a table here. Great wine list as well.,"{'food': ['great'], 'service': [], 'ambiance': []}",food is great.
"We went there twice and I had carbonara on both visits. The first time the food was really exceptional and deserved 4 stars, the second visit it was really mediocre and not worthy of more than one star. The amount of salt in everything was crazy!

I told this to a friend of mine who is a regular there and he'd been back a couple of days before us and also found the quality was totally unreliable.

Service pleasant and efficient. Great wine list.

Hopefully things will straighten out again in the future but for now I'd say skip it. There are lots of excellent restaurants in Rome.","{'food': ['really exceptional', 'great'], 'service': ['pleasant'], 'ambiance': []}","food is great, really exceptional. service is pleasant."
"Armando is our must visit restaurant in Rome, family run, great location and (in my opinion) the best Carbonara in Rome.

We always have pasta as a starter and then a different pasta for main course. Portions are not small so go hungry and go easy on the bread 😂

You can book online and I suggest you book ahead since they are almost always full. Whilst this is lovely for dinner, we tend to go for lunch since we then have the rest of the day to walk off the carbs.","{'food': ['lovely', 'not small'], 'service': [], 'ambiance': []}","food is not small, lovely."
"Absolutely amazing Parmigiana, Carbonara, Amatriciana and Cacio e pepe. The wine that they recommended us went perfectly with the food! I would definitely go back again!","{'food': [], 'service': [], 'ambiance': []}",
Amazing food!  BEST OF ROME With the Pope and the coliseum.... Grabriele and Orlando  are amazing hosters at the beginning of the night ... at the end of your dinner the are your best news friend!  I STRONGLY recommend this place! 👌  cheers from Miami!,"{'food': ['amazing'], 'service': [], 'ambiance': []}",food is amazing.
"Reservation highly recommended. One of the best amatriciana, cacio e pepe and carbonara in Roma. Prices are fair  and staffs are super friendly.  They have a great natural wine list.
Currently, they have outdoor seating  with Pantheon view.
I had a couple of dinners and lunches during my prolonged stay.  The fried fish was alright, but their veal and pastas were to die for.","{'food': ['natural', 'great'], 'service': [], 'ambiance': ['outdoor']}","food is natural, great. ambiance is outdoor."
Great  food And the staff was wonderful.  Our waiter recommended  a great wine we had all 4 course and no one was disappointed Do not miss this restaurant.,"{'food': ['great', 'a great'], 'service': ['wonderful'], 'ambiance': []}","food is great, a great. service is wonderful."
We ordered 2x cacio et pepe (pasta) and it was probably the best we had. I strongly recommend you to reserve in advance !,"{'food': [], 'service': [], 'ambiance': []}",
Very taste everything. Waiters nice and giving good recommendations,"{'food': [], 'service': ['nice'], 'ambiance': []}",service is nice.
"A three generation restaurant since 1961 next to the pantheon.
The Bruschetta featured some of the tastiest tomatoes I’ve ever had. They were so juicy, strong in flavor, yet with the perfect balance of slightly sweet and tangy. The Buffalo mozzarella was decent, fresh and creamy but a little too chewy like rubber.
The Spaghetti allá carbonara was very fresh and made perfectly al dente. The sauce is eggy, creamy, and salty, so thick that it began to clump and stick together after a bit. The cured pork cheek adds smokiness, but went perhaps over the top on salt.
Lastly the torta antica Roma was a crumble tart that shares the same flavor attributes of a refined peanut butter and jelly sandwich. Instead of peanut, sesame and poppy seeds are used to produce a subtler taste. This is paired with a light layer of ricotta and a strawberry jam.","{'food': ['a subtler', 'same', 'strong'], 'service': [], 'ambiance': []}","food is same, a subtler, strong."
"Best meal we had in Rome. Delicious wine and excellent food. Super friendly service and fair pricing. We paid €120 for two mains and sides, a bottle of wine, water, bread, dessert wine and a shared dessert. You can easily book online also.","{'food': ['excellent', 'delicious', 'best', 'delicious'], 'service': ['friendly'], 'ambiance': []}","food is delicious, excellent, best. service is friendly."
"We had a great night here! Staff is very gentle and the quality of food is sensational. The price is very plausible even adjacent Pantheon! This amatriciana is best ever in all we have had in Roma, London and Tokyo","{'food': [], 'service': ['very gentle'], 'ambiance': []}",service is very gentle.
"The eggplant antipasto was delightful, the service was friendly, the spagetti carbonara was essentially scrambled eggs with noodles. Not what we would have expected.","{'food': [], 'service': ['friendly'], 'ambiance': []}",service is friendly.
