query,name,google_id,place_id,location_link,reviews_link,reviews_per_score,rating,review_id,author_link,author_title,author_id,author_image,review_text,review_img_url,owner_answer,owner_answer_timestamp,owner_answer_timestamp_datetime_utc,review_link,review_rating,review_timestamp,review_datetime_utc,review_likes,reviews_id
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSURHMWRxbkpBEAE,https://www.google.com/maps/contrib/103040270678038653300?hl=en-US,Ko B,103040270678038653300,https://lh3.googleusercontent.com/a-/AOh14GhsdzfLdKHsCk2SGEw-XDHvTymd3-6SJRSt2kpMbTQ=s120-c-c0x00000000-cc-rp-mo-ba3-br100,"We heard so many good things about this place and was excited to try it. We made reservations on our first day in Rome (12/1/2021). We ordered the carbonara, cacio e pepe, roman-artichoke and fresh mozzarella. Both pasta dishes were EXTREMELY salty. I love salt just as much as the next guy, but these were next level salty!! 🤢Needless to say I wouldn't recommend this place, so many other good place to eat and you don't need to make reservations!",https://lh5.googleusercontent.com/p/AF1QipOiqpv-ArAQA4rUBKlCkf2-N21rJ_cpHHIJ5GOF,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s103040270678038653300!2s0x0:0x91fde7e0e4de70fe?hl=en-US,2,1638669374,12/05/2021 01:56:14,0,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSUM2M2ZuNEtnEAE,https://www.google.com/maps/contrib/101348520303358120703?hl=en-US,Andrew Watters,101348520303358120703,https://lh3.googleusercontent.com/a-/AOh14GgitZTlVJCm4ui0KiZHP7avZl-0WZGk_Kw-jbZ_Jg=s120-c-c0x00000000-cc-rp-mo-ba3-br100,"Amazing location, incredible food, great staff, legendary place. Get a reservation, or come for lunch if you can’t, because you’re very unlikely to get in otherwise. All of the food was delicious and the wine as well. Very friendly and knowledgeable staff too!",https://lh5.googleusercontent.com/p/AF1QipOVB4yEMGZRc735j2J-NCXMwzpngUpffC1CBrWG,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s101348520303358120703!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1631307780,09/10/2021 21:03:00,1,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSURHcjdiYkZnEAE,https://www.google.com/maps/contrib/115344596971129711416?hl=en-US,Daniel Z,115344596971129711416,https://lh3.googleusercontent.com/a-/AOh14GhzSE0N7VwgBj4a1JFMJtCiMyPiBFLdlOZ9_v3toQ=s120-c-c0x00000000-cc-rp-mo-ba4-br100,Long time run family restaurant with great flavors and portioned servings. If you're near the Pantheon this is the place to stop and enjoy the Italian taste of Rome. Make reservations! It's small and fills up quick.,https://lh3.googleusercontent.com/a-/AOh14GhzSE0N7VwgBj4a1JFMJtCiMyPiBFLdlOZ9_v3toQ,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s115344596971129711416!2s0x0:0x91fde7e0e4de70fe?hl=en-US,4,1639402925,12/13/2021 13:42:05,0,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChdDSUhNMG9nS0VJQ0FnSUM2bzRmSHRBRRAB,https://www.google.com/maps/contrib/109664700560565486565?hl=en-US,Fred Daner,109664700560565486565,https://lh3.googleusercontent.com/a/AATXAJz6abYEKHqkwj13eMxqaOXApPcOHnZzI6VwYJV9=s120-c-c0x00000000-cc-rp-mo-br100,A must for the Roman classics and experience. There’s a reason everyone wants a table here. Great wine list as well.,https://lh5.googleusercontent.com/p/AF1QipMNFCivq2TW0ef72Va18VMOvXYooWX63pNutWNB,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s109664700560565486565!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1631381451,09/11/2021 17:30:51,0,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSUQ2by0ycUVBEAE,https://www.google.com/maps/contrib/115370838477181188753?hl=en-US,SB,115370838477181188753,https://lh3.googleusercontent.com/a-/AOh14GiTg0F1C97G5IAnFxomMvwA3gDaKAXXHqcQiX0w8kM=s120-c-c0x00000000-cc-rp-mo-ba5-br100,"We went there twice and I had carbonara on both visits. The first time the food was really exceptional and deserved 4 stars, the second visit it was really mediocre and not worthy of more than one star. The amount of salt in everything was crazy!

I told this to a friend of mine who is a regular there and he'd been back a couple of days before us and also found the quality was totally unreliable.

Service pleasant and efficient. Great wine list.

Hopefully things will straighten out again in the future but for now I'd say skip it. There are lots of excellent restaurants in Rome.",https://lh5.googleusercontent.com/p/AF1QipMKyVcCm7oWi8BZWhOB-s06oxs46FKj3Ko35g2l,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s115370838477181188753!2s0x0:0x91fde7e0e4de70fe?hl=en-US,2,1633808873,10/09/2021 19:47:53,2,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSUNxcGZLNkRBEAE,https://www.google.com/maps/contrib/101925020468626781519?hl=en-US,Kurt Paris,101925020468626781519,https://lh3.googleusercontent.com/a-/AOh14GiAp5r61DJ1pKF0A3sMZ-9DoSyuRPCViaadDGlZVA=s120-c-c0x00000000-cc-rp-mo-ba5-br100,"Armando is our must visit restaurant in Rome, family run, great location and (in my opinion) the best Carbonara in Rome.

We always have pasta as a starter and then a different pasta for main course. Portions are not small so go hungry and go easy on the bread 😂

You can book online and I suggest you book ahead since they are almost always full. Whilst this is lovely for dinner, we tend to go for lunch since we then have the rest of the day to walk off the carbs.",https://lh5.googleusercontent.com/p/AF1QipPbvY0-2CHpjROavfSOUWKa3Cd_CkYZA-BFvOTx,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s101925020468626781519!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1623572121,06/13/2021 08:15:21,3,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSUNhbnJDeFJBEAE,https://www.google.com/maps/contrib/111539390138788008868?hl=en-US,Alby Nikolova,111539390138788008868,https://lh3.googleusercontent.com/a-/AOh14Gi8kixBTCJPLC-k0BD0BC_VNIt0VZ4KcMIfO1n4oA=s120-c-c0x00000000-cc-rp-mo-ba3-br100,"Absolutely amazing Parmigiana, Carbonara, Amatriciana and Cacio e pepe. The wine that they recommended us went perfectly with the food! I would definitely go back again!",https://lh5.googleusercontent.com/p/AF1QipOPfBHVGW9XgpCdrph8dvYgFwrQJ9CkCSk0YaUk,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s111539390138788008868!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1627827754,08/01/2021 14:22:34,1,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChdDSUhNMG9nS0VJQ0FnSURHeGJpcTNnRRAB,https://www.google.com/maps/contrib/106895305561519476938?hl=en-US,Josué Labaut,106895305561519476938,https://lh3.googleusercontent.com/a-/AOh14GgEXNwLnEhzWVKgVwjSCAOFkBZO0HUbTwatpGXjLfo=s120-c-c0x00000000-cc-rp-mo-ba4-br100,Amazing food!  BEST OF ROME With the Pope and the coliseum.... Grabriele and Orlando  are amazing hosters at the beginning of the night ... at the end of your dinner the are your best news friend!  I STRONGLY recommend this place! 👌  cheers from Miami!,https://lh3.googleusercontent.com/a-/AOh14GgEXNwLnEhzWVKgVwjSCAOFkBZO0HUbTwatpGXjLfo,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s106895305561519476938!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1638573730,12/03/2021 23:22:10,0,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChdDSUhNMG9nS0VJQ0FnSUNxdGY2cDB3RRAB,https://www.google.com/maps/contrib/108699048853975501873?hl=en-US,Fouhmi,108699048853975501873,https://lh3.googleusercontent.com/a/AATXAJz2r1EcSU-p7NIiDJIV6eA0WfnBHzdJkoWMzDF6=s120-c-c0x00000000-cc-rp-mo-ba5-br100,"Reservation highly recommended. One of the best amatriciana, cacio e pepe and carbonara in Roma. Prices are fair  and staffs are super friendly.  They have a great natural wine list.
Currently, they have outdoor seating  with Pantheon view.
I had a couple of dinners and lunches during my prolonged stay.  The fried fish was alright, but their veal and pastas were to die for.",https://lh5.googleusercontent.com/p/AF1QipMjea2saMYNwem5rrAxWYDSaeaOlEFwo8qOHa9Y,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s108699048853975501873!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1623670124,06/14/2021 11:28:44,2,-7926924816003731202
Armando al Pantheon,Armando al Pantheon,0x132f6051d8fd0673:0x91fde7e0e4de70fe,ChIJcwb92FFgLxMR_nDe5ODn_ZE,"https://www.google.com/maps/place/Armando+al+Pantheon/@41.8990581,12.4761819,14z/data=!4m8!1m2!2m1!1sArmando+al+Pantheon!3m4!1s0x132f6051d8fd0673:0x91fde7e0e4de70fe!8m2!3d41.8990581!4d12.4761819",https://search.google.com/local/reviews?placeid=ChIJcwb92FFgLxMR_nDe5ODn_ZE&q=Armando+al+Pantheon&authuser=0&hl=en&gl=US,"{""1"": 48, ""2"": 39, ""3"": 65, ""4"": 226, ""5"": 679}",4.4,ChZDSUhNMG9nS0VJQ0FnSUM2d3BmQVJBEAE,https://www.google.com/maps/contrib/109388415853440001325?hl=en-US,Gary LaKemper,109388415853440001325,https://lh3.googleusercontent.com/a/AATXAJzfmUe7WR9nm0K6TE9_QxJL3sSvCN6_xUwqz2Yc=s120-c-c0x00000000-cc-rp-mo-br100,Great  food And the staff was wonderful.  Our waiter recommended  a great wine we had all 4 course and no one was disappointed Do not miss this restaurant.,https://lh5.googleusercontent.com/p/AF1QipOCWsa0M_mBglsheAO4VfZdru2dS-K7KhAaRacm,,,,https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s109388415853440001325!2s0x0:0x91fde7e0e4de70fe?hl=en-US,5,1630533476,09/01/2021 21:57:56,1,-7926924816003731202
